,VIC,VIC,VIC,VIC,VIC,NSW,NSW,NSW,QLD,QLD,SA,TAS,ACT
,City power,Jemena,United Energy,Powercor,Ausnet,Endevour,Essential Energy,Ausgrid,Energex,Ergon,SA Power Networks,TasNetworks,EvoEnergy
Total OnceOff,727.9392608,743.286745,718.6469782,898.7182533,875.819463,857.9556391,1047.295451,844.1884252,759.1965556,1222.763345,1081.942673,1370.356433,797.5004877
Monthly Base / Once Off,60.66160507,61.94056208,59.88724818,74.89318778,72.98495525,71.49630326,87.27462092,70.34903543,63.26637963,101.8969454,90.16188943,114.1963694,66.45837398
Once-Off High no.,102.3282717,103.6072288,101.5539149,116.5598544,114.6516219,113.1629699,128.9412876,112.0157021,104.9330463,143.563612,131.8285561,155.8630361,108.1250406
Total Weekly,909.9392608,925.286745,900.6469782,1080.718253,1057.819463,1039.955639,1229.295451,1026.188425,941.1965556,1404.763345,1263.942673,1552.356433,979.5004877
Weekly',75.82827173,77.10722875,75.05391485,90.05985444,88.15162192,86.66296993,102.4412876,85.5157021,78.4330463,117.063612,105.3285561,129.3630361,81.62504064
Monthly - best competitor,82,83,85,102,97,88,108,87,79,122,107,157,92
VDO/Reference Price - Weekly,0.241717283,0.258584339,0.278327742,0.249501213,0.233464157,0.133370301,0.153377789,0.200787831,0.118729817,0.040462196,0.13665118,0.225371041,0.290217038
VDO/Reference Price - Once Off,0.393383949,0.404417672,0.424161075,0.375890102,0.365348215,0.285036967,0.278722141,0.342532379,0.289141802,0.164779136,0.260968119,0.316189405,0.422101096
