,VIC,VIC,VIC,VIC,VIC,NSW,NSW,NSW,QLD,QLD,SA,TAS,ACT
,City power,Jemena,United Energy,Powercor,Ausnet,Endevour,Essential Energy,Ausgrid,Energex,Ergon,SA Power Networks,TasNetworks,EvoEnergy
Total OnceOff,1215.628294,1269.78391,1254.829508,1421.423959,1515.072034,1518.594829,1646.621081,1486.378529,1392.616852,1668.364987,1981.865346,1902.883376,1334.476431
Monthly Base / Once Off,101.3023579,105.8153258,104.5691256,118.4519965,126.2560028,126.5495691,137.2184234,123.8648774,116.0514044,139.0304156,165.1554455,158.5736147,111.2063692
Once-Off High no.,142.9690245,147.4819925,146.2357923,160.1186632,167.9226695,168.2162357,178.8850901,165.5315441,157.718071,180.6970823,206.8221122,200.2402813,152.8730359
Total Weekly,1397.628294,1451.78391,1436.829508,1603.423959,1697.072034,1700.594829,1828.621081,1668.378529,1574.616852,1850.364987,2163.865346,2084.883376,1516.476431
Weekly',116.4690245,120.9819925,119.7357923,133.6186632,141.4226695,141.7162357,152.3850901,139.0315441,131.218071,154.1970823,180.3221122,173.7402813,126.3730359
Monthly - best competitor,132,140,141,155,158,148,162,143,143,210,190,218,139
VDO/Reference Price - Weekly,0.258159079,0.275556931,0.29567181,0.265831521,0.24372904,0.269503939,0.307340499,0.328350029,0.312994392,0.26572818,0.257933695,0.241308815,0.358512508
VDO/Reference Price - Once Off,0.354762052,0.366375294,0.384887496,0.349164854,0.324834209,0.347682634,0.376279893,0.40161895,0.392401024,0.337950402,0.320347961,0.307538801,0.435500664
